testCaseNo,password,validation,description,buttonState
1,testtesttest,short,VERY WEAK: Lower case letters - a repeating phrase and expected length,disabled
2,!!!!!!!!!!!!,short,VERY WEAK: One special symbol and expected length,disabled
3,1234567890,short,VERY WEAK: Different numbers and shorter than expected,disabled
4,SARAHSARAH,short,VERY WEAK: Upper case letters - expected length and a repeating phrase,disabled
5,P12345678900,bad,WEAK: Upper case letters and numbers in ascending order - expected length,disabled
6,!testtesttest,bad,WEAK: Lower case letters with a special symbol - expected length,disabled
7,Testtest,bad,WEAK: Lower and upper case letters - shorter than expected,disabled
8,Test@123!,bad,WEAK: Upper and lower case letters with a special symbol and ascending numbers - shorter than expected,disabled
9,Testemonial,good,MEDIUM: Lower and Upper case letters without repeating phrases - shorter than expected,enabled
10,Test6729@@@@,good,MEDIUM: Lower and upper case letters with numbers and a repeating special symbol,enabled
11,Test6729@#^&,strong,STRONG: Lower and upper case letters with numbers in unpredicted order with 4 different special symbols,enabled
